id,date_start,country,link,description,persons
236,2015-10-16T00:00:00,Danmark,/menu/kalender/hm-dronningen-modtager-ambassadorer-i-audiens-kl-1000-3,H.M. Dronningen modtager ambassadører i audiens kl. 10.00,H.M. Dronningen
237,2015-10-16T00:00:00,Danmark,/menu/kalender/hkh-prinsgemalen-deltager-i-arsmode-og-generalforsamling-i-danmarks-tarokklub-kl-1100,H.K.H. Prinsgemalen deltager i årsmøde og generalforsamling i Danmarks Tarokklub kl. 11.00,H.K.H. Prins Henrik
238,2015-10-18T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-benedikte-afholder-bestyrelsesmode-i-dressurens-venner-kl-1100,H.K.H. Prinsesse Benedikte afholder bestyrelsesmøde i Dressurens Venner kl. 11.00,H.K.H. Prinsesse Benedikte
239,2015-10-19T00:00:00,Danmark,/menu/kalender/offentlig-audiens-pa-christiansborg-slot-kl-1000-38,Offentlig audiens på Christiansborg Slot kl. 10.00,H.M. Dronningen
240,2015-10-19T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-foretager-abning-af-udstillingen-thai-artistry-the-living-heritage,"H.K.H. Prins Joachim foretager åbning af udstillingen ""Thai Artistry: The Living Heritage"" i Illum stormagasin kl. 15.00",H.K.H. Prins Joachim
241,2015-10-21T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-er-regent-den-21-27-oktober,H.K.H. Kronprinsen er regent den 21. - 27. oktober,H.K.H. Kronprinsen
242,2015-10-21T00:00:00,Danmark,/kalender/statsbesoeg-i-indonesien,Statsbesøg i Indonesien,"H.M. Dronningen,H.K.H. Prins Henrik"
243,2015-10-22T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overrakker-dansk-design-talent--magasin-prisen-2015-kl-1900,H.K.H. Kronprinsessen overrækker DANSK Design Talent – Magasin Prisen 2015 kl. 19.00,H.K.H. Kronprinsessen
244,2015-10-23T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-forestar-abning-af-kfums-soldaterhjems-udslusningsboliger-for-vetera,H.K.H. Kronprinsessen forestår åbning af KFUMs Soldaterhjems udslusningsboliger for veteranfamilier kl. 16.00,H.K.H. Kronprinsessen
245,2015-10-25T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-overvarer-gallapremiere-pa-filmen-he-named-me-malala-kl-1500,"H.K.H. Kronprinsessen overværer gallapremiere på filmen ""He Named me Malala"" kl. 15.00",H.K.H. Kronprinsessen
246,2015-10-25T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-overrakker-kartoffelprisen-2015-kl-1545,"H.K.H. Prins Joachim overrækker ""Kartoffelprisen"" 2015 kl. 15.45",H.K.H. Prins Joachim
247,2015-10-26T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-aflagger-arbejdsbesog-pa-julemarkehjemmet-kildemose-kl-1400,H.K.H. Kronprinsessen aflægger arbejdsbesøg på julemærkehjemmet Kildemose kl. 14.00,H.K.H. Kronprinsessen
248,2015-10-27T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-konference-om-trivsel-i-fritidslivet-med-mary-fonden-kl,H.K.H. Kronprinsessen deltager i konference om trivsel i fritidslivet med Mary Fonden kl. 9.00,H.K.H. Kronprinsessen
249,2015-10-28T00:00:00,Danmark,/menu/kalender/hkh-prinsgemalen-foretager-rejse-til-vietnam-den-28-oktober-5-november,H.K.H. Prinsgemalen foretager rejse til Vietnam den 28. oktober - 5 november,H.K.H. Prins Henrik
250,2015-10-28T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-marie-deltager-i-unescos-anniversary-conference-i-paris,H.K.H. Prinsesse Marie deltager i UNESCO’s Anniversary Conference i Paris,
251,2015-10-28T00:00:00,Danmark,/menu/kalender/hm-dronningen-og-hkh-kronprinsessen-er-til-stede-ved-prasentation-af-julemarket-2015,H.M. Dronningen og H.K.H. Kronprinsessen er til stede ved præsentation af Julemærket 2015 kl. 12.00,"H.M. Dronningen,H.K.H. Kronprinsessen"
252,2015-10-28T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-born-unge--sorgs-15-ars-fodselsdagskonference-kl-1330,"H.K.H. Kronprinsessen deltager i Børn, Unge & Sorgs 15-års fødselsdagskonference kl. 13.30",H.K.H. Kronprinsessen
253,2015-10-28T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-deltager-i-hojtideligholdelse-af-tordenskiolds-325-ars-fodselsdag-kl-1,H.K.H. Kronprinsen deltager i højtideligholdelse af Tordenskiolds 325-års fødselsdag kl. 14.00,H.K.H. Kronprinsen
254,2015-10-28T00:00:00,Danmark,/menu/kalender/hkh-kronprinsen-forestar-overrakkelsen-af-tordenskiold-prisen-2015-kl-1600,H.K.H. Kronprinsen forestår overrækkelsen af Tordenskiold-Prisen 2015 kl. 16.00,H.K.H. Kronprinsen
255,2015-10-30T00:00:00,Danmark,/menu/kalender/hm-dronningen-modtager-nyudnavnte-officerer-fra-flyvevabnet-kl-1000,H.M. Dronningen modtager nyudnævnte officerer fra Flyvevåbnet kl. 10.00,H.M. Dronningen
256,2015-10-30T00:00:00,Danmark,/menu/kalender/hm-dronningen-modtager-ambassador-i-afskedsaudiens-kl-1045,H.M. Dronningen modtager ambassadør i afskedsaudiens kl. 10.45,H.M. Dronningen
257,2015-09-01T00:00:00,Danmark,/menu/kalender/regentparret-aflagger-besog-i-syddjurs-kommune,Regentparret aflægger besøg i Syddjurs Kommune,"H.M. Dronningen,H.K.H. Prins Henrik"
258,2015-09-01T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-marie-indvier-nyt-udendors-larings-og-aktivitetsrum-kl-1130,H.K.H. Prinsesse Marie indvier nyt udendørs lærings- og aktivitetsrum kl. 11.30,H.K.H. Prinsesse Marie
259,2015-09-01T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-netvarksarrangement-vedrorende-women-deliver-kl-1400,H.K.H. Kronprinsessen deltager i netværksarrangement vedrørende Women Deliver kl. 14.00,H.K.H. Kronprinsessen
260,2015-09-02T00:00:00,Danmark,/menu/kalender/regentparret-aflagger-besog-i-vejle,Regentparret aflægger besøg i Vejle,"H.M. Dronningen,H.K.H. Prins Henrik"
261,2015-09-02T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-moder-de-danske-crown-princess-mary-scholarship-modtagere-kl-1100,H.K.H. Kronprinsessen møder de danske Crown Princess Mary Scholarship modtagere kl. 11.00,H.K.H. Kronprinsessen
262,2015-09-02T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-deltager-i-festmiddag-og-forestar-overrakkelse-af-carlsbergfondets-f-2,H.K.H. Kronprinsessen deltager i festmiddag og forestår overrækkelse af Carlsbergfondets Forskningspriser 2015 kl. 18.30,H.K.H. Kronprinsessen
263,2015-09-03T00:00:00,Danmark,/menu/kalender/hkh-prinsesse-marie-abner-udstillingen-georg-jensen-et-eventyr-i-dansk-solv-kl-150,"H.K.H. Prinsesse Marie åbner udstillingen ""Georg Jensen. Et eventyr i dansk sølv"" kl. 15.00",H.K.H. Prinsesse Marie
264,2015-09-04T00:00:00,Danmark,/menu/kalender/regentparret-aflagger-besog-i-aabenraa,Regentparret aflægger besøg i Aabenraa,"H.M. Dronningen,H.K.H. Prins Henrik"
265,2015-09-04T00:00:00,Danmark,/menu/kalender/hkh-prins-joachim-besoger-ingeniorregimentet-kl-900,H.K.H. Prins Joachim besøger Ingeniørregimentet kl. 9.00,H.K.H. Prins Joachim
266,2015-09-05T00:00:00,Danmark,/menu/kalender/dkh-prins-joachim-og-prinsesse-marie-deltager-i-hojtideligholdelsen-af-flagdagen-kl-12,D.K.H. Prins Joachim og Prinsesse Marie deltager i højtideligholdelsen af flagdagen kl. 12.15,"H.K.H. Prins Joachim,H.K.H. Prinsesse Marie"
267,2015-09-06T00:00:00,Danmark,/menu/kalender/hm-dronningen-er-til-stede-ved-bispevielse-kl-1400,H.M. Dronningen er til stede ved bispevielse kl. 14.00,H.M. Dronningen
268,2015-09-06T00:00:00,Danmark,/menu/kalender/dkh-prins-joachim-og-prinsesse-marie-deltager-i-schackenborg-fondets-arlige-fondsmiddag,D.K.H. Prins Joachim og Prinsesse Marie deltager i Schackenborg Fondets årlige fondsmiddag kl. 18.00,
269,2015-09-07T00:00:00,Danmark,/menu/kalender/residensforlaggelse-til-fredensborg-slot-4-2,Residensforlæggelse til Fredensborg Slot ,"H.M. Dronningen,H.K.H. Prins Henrik"
270,2015-09-07T00:00:00,Danmark,/menu/kalender/offentlig-audiens-pa-christiansborg-slot-kl-1000-35-2,Offentlig audiens på Christiansborg Slot kl. 10.00,
271,2015-09-07T00:00:00,Danmark,/menu/kalender/hkh-kronprinsessen-forestar-prisoverrakkelse-ved-fsr-kl-1600,H.K.H. Kronprinsessen forestår prisoverrækkelse ved FSR kl. 16.00,H.K.H. Kronprinsessen
